Sites,Number_sites,Additional_sites,Species_total,Mini_species,Mini_families,Mini_genera,Faith_PD,MPD,Mean_Difficulty,Total_Difficulty
Andasibe_Blue+MontagneDAmbre_Purple+Marojejy_White+NosyBe_Red+Seychelles,5,4,16,9,2,5,2.3364457,0.445398595,2.0625,33
Ranomafana_Pink+Andasibe_Blue+MontagneDAmbre_Purple+Marojejy_White+Seychelles,5,4,16,10,2,5,2.33237704,0.436419143,2.125,34
Ranomafana_Pink+Andasibe_Blue+MontagneDAmbre_Purple+NosyBe_Red+Seychelles,5,4,16,10,2,4,2.31642664,0.431723461,1.9375,31
Andasibe_Blue+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Marojejy_White+Seychelles,5,4,15,8,2,6,2.2931115,0.446371938,1.933333333,29
Ranomafana_Pink+Andasibe_Blue+Marojejy_White+NosyBe_Red+Seychelles,5,4,17,11,2,5,2.28796464,0.419099448,2.235294118,38
Andasibe_Blue+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+NosyBe_Red+Seychelles,5,4,15,8,2,5,2.2771611,0.441596864,1.733333333,26
Andasibe_Blue+Tsitomgambarika_Yellow+Marojejy_White+NosyBe_Red+Seychelles,5,4,16,9,2,6,2.2486991,0.427243986,2.0625,33
Andasibe_Blue+MontagneDAmbre_Purple+Betampona_Green+Marojejy_White+Seychelles,5,4,14,7,2,5,2.2331115,0.466504328,2,28
Ranomafana_Pink+Andasibe_Blue+Tsitomgambarika_Yellow+NosyBe_Red+Seychelles,5,4,16,10,2,5,2.22868004,0.412525298,1.9375,31
Andasibe_Blue+MontagneDAmbre_Purple+Betampona_Green+NosyBe_Red+Seychelles,5,4,14,7,2,4,2.2171611,0.461065939,1.785714286,25
Ranomafana_Pink+Andasibe_Blue+Tsitomgambarika_Yellow+Marojejy_White+Seychelles,5,4,16,10,2,6,2.18884744,0.41361117,2.125,34
Andasibe_Blue+Betampona_Green+Marojejy_White+NosyBe_Red+Seychelles,5,4,15,8,2,5,2.1886991,0.44454957,2.133333333,32
Ranomafana_Pink+MontagneDAmbre_Purple+Marojejy_White+NosyBe_Red+Seychelles,5,4,16,10,2,5,2.18415416,0.431629142,2.1875,35
Ranomafana_Pink+Andasibe_Blue+Betampona_Green+NosyBe_Red+Seychelles,5,4,15,9,2,4,2.16868004,0.42938955,2,30
Ranomafana_Pink+Andasibe_Blue+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Seychelles,5,4,15,9,2,5,2.15015418,0.425799118,1.8,27
Ranomafana_Pink+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Marojejy_White+Seychelles,5,4,15,9,2,6,2.14081996,0.431511581,2.066666667,31
Ranomafana_Pink+Andasibe_Blue+Betampona_Green+Marojejy_White+Seychelles,5,4,15,9,2,5,2.12884744,0.430568743,2.2,33
Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Marojejy_White+NosyBe_Red+Seychelles,5,4,15,8,2,5,2.11443407,0.440680356,2,30
Andasibe_Blue+Tsitomgambarika_Yellow+Betampona_Green+NosyBe_Red+Seychelles,5,4,13,7,2,5,2.1013087,0.46228958,1.846153846,24
Ranomafana_Pink+Tsitomgambarika_Yellow+Marojejy_White+NosyBe_Red+Seychelles,5,4,16,10,2,6,2.09640756,0.413271112,2.1875,35
Ranomafana_Pink+Andasibe_Blue+MontagneDAmbre_Purple+Betampona_Green+Seychelles,5,4,14,8,2,4,2.09015418,0.444683387,1.857142857,26
Ranomafana_Pink+MontagneDAmbre_Purple+Betampona_Green+Marojejy_White+Seychelles,5,4,14,8,2,5,2.08081996,0.450459363,2.142857143,30
Ranomafana_Pink+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+NosyBe_Red+Seychelles,5,4,14,9,2,5,2.06996176,0.443930949,1.785714286,25
Andasibe_Blue+Tsitomgambarika_Yellow+Betampona_Green+Marojejy_White+Seychelles,5,4,13,7,2,6,2.0614761,0.462997618,2.076923077,27
MontagneDAmbre_Purple+Betampona_Green+Marojejy_White+NosyBe_Red+Seychelles,5,4,14,7,2,4,2.05443407,0.459193103,2.071428571,29
Ranomafana_Pink+Betampona_Green+Marojejy_White+NosyBe_Red+Seychelles,5,4,15,9,2,5,2.03640756,0.429535292,2.266666667,34
Andasibe_Blue+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Betampona_Green+Seychelles,5,4,12,6,2,5,2.02278284,0.482251342,1.666666667,20
Ranomafana_Pink+MontagneDAmbre_Purple+Betampona_Green+NosyBe_Red+Seychelles,5,4,13,8,2,4,2.00996176,0.464389651,1.846153846,24
Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Betampona_Green+Marojejy_White+Seychelles,5,4,12,6,2,5,1.98299407,0.487804434,2,24
Tsitomgambarika_Yellow+Betampona_Green+Marojejy_White+NosyBe_Red+Seychelles,5,4,13,7,2,5,1.93858167,0.460445903,2.153846154,28
Ranomafana_Pink+Andasibe_Blue+Tsitomgambarika_Yellow+Betampona_Green+Seychelles,5,4,13,8,2,5,1.91851878,0.438170802,1.923076923,25
Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Betampona_Green+NosyBe_Red+Seychelles,5,4,11,6,2,4,1.91213587,0.507372424,1.636363636,18
Ranomafana_Pink+Tsitomgambarika_Yellow+Betampona_Green+Marojejy_White+Seychelles,5,4,13,8,2,6,1.89500116,0.445250739,2.230769231,29
Ranomafana_Pink+Tsitomgambarika_Yellow+Betampona_Green+NosyBe_Red+Seychelles,5,4,12,8,2,5,1.89410936,0.466507011,1.916666667,23
Ranomafana_Pink+Tsitomgambarika_Yellow+MontagneDAmbre_Purple+Betampona_Green+Seychelles,5,4,11,7,2,5,1.8155835,0.488461566,1.727272727,19
