species,Individual,mass_g,SVL_mm,Perc_Muscle_Mass,Perc_Viscera_Mass,Hindlimb.SVL,Tarsal.Tibia_Length,Distal.Proximal_Aponeurosis_Width,PL_Fiber.Muscle_Length,PL_Pennation_Angle_deg,PL.Total_Muscle_Mass,Peak_Jump_Force_BW,Jump_Takeoff_Velocity_SVL.second,Total_Jump_Energy_J.kg_musc,Peak_Jump_Power_W.kg_musc,Mean_Swim_Speed_SVL.second,Swim_Frequency_Hz,Swim_Duty_Factor,Peak_Swim_Speed_SVL.second,Walking_Stride_Frequency_Hz,Walking_Speed_SVL.second,SM_Twitch.Tetanus_Ratio,SM_Time_to_Peak_Twitch_ms,SM_Time_to_Half_Twitch_Relax_ms,SM_Time_to_Peak_Tetanus_ms,SM_Time_to_Half_Peak_Tetanus_ms,SM_Time_to_Half_Tetanus_Relax_ms,SM_Time_to_50%_Force_Loss_s,PL_Twitch.Tetanus_Ratio,PL_Time_to_Peak_Twitch_ms,PL_Time_to_Half_Twitch_Relax_ms,PL_Time_to_Peak_Tetanus_ms,PL_Time_to_Half_Peak_Tetanus_ms,PL_Time_to_Half_Tetanus_Relax_ms,PL_Time_to_50Perc_Force_Loss_s
Melanophryniscus_stelzneri,1,1.5788,28.5,0.04,0.23,1.21,0.56,2.14,0.53,24,0.15,2.63,20.5,5.5,172,7.15,6.94,0.33,10.96,7.35,9.04,0.441,0.041,0.034,0.098,0.023,0.053,16,0.554,0.043,0.021,0.13,0.025,0.061,25
Melanophryniscus_stelzneri,2,0.824,23,0.07,0.13,1.61,0.75,2.25,0.56,17.8,0.13,2.03,25.5,4.2,92,6.94,5,0.33,10.75,4.03,5.79,0.484,0.044,0.034,0.196,0.028,0.056,38,0.532,0.04,0.026,,0.025,0.067,38
Osteopilus_septentrionalis,10,21.641,66,0.13,0.33,1.8,0.56,1.39,0.34,21.1,0.18,3.86,31.2,18.3,427,8.06,2.14,0.18,15.53,,,0.463,0.031,0.039,0.172,0.023,0.06,17,,,,,,,
Osteopilus_septentrionalis,12,7.138,50,0.13,0.2,1.84,0.61,1.35,0.23,25.3,0.2,5.12,42.5,19.9,572,8.98,2.61,0.22,19.69,,,,,,,,,,0.436,0.046,0.073,0.207,0.043,0.067,9
Osteopilus_septentrionalis,13,6.559,51,0.17,0.11,1.82,0.56,1,0.34,21.1,0.17,7.69,56.6,26.3,871,9.73,2.22,0.19,23.14,,,0.426,0.034,0.039,0.158,0.029,0.054,16,,,,,,,
Osteopilus_septentrionalis,14,10.685,59,0.16,0.2,1.88,0.61,1.23,0,0,0.18,8.47,53,35.2,1129,6.81,1.88,0.16,14.49,,,,,,0.207,0.027,0.07,12,,,,,,,
Osteopilus_septentrionalis,15,7.61,55,0.15,0.15,1.85,0.58,1.56,0.3,22.9,0.21,7.49,57.3,35.6,1086,8.55,1.67,0.14,22.75,,,0.4,0.026,0.035,0.196,0.022,0.065,16,0.315,0.04,0.066,0.258,0.058,0.063,11
Phrynomantis_bifasciatus,1,4.167,44,0.06,0.12,1.27,0.77,1.38,0.34,12.5,0.14,1.88,17.8,3.3,64,4.87,3.53,0.24,7.37,1.33,1.55,0.282,0.035,0.049,0.227,0.035,0.058,28,0.452,0.039,0.024,0.3,0.031,0.063,16
Phrynomantis_bifasciatus,2,3.922,44,0.07,0.14,1.3,0.64,0.85,0.4,15.7,0.13,2.53,22.1,6.7,118,5.34,5,0.25,8.98,1.94,2.37,0.533,0.035,0.033,0.205,0.025,0.081,21,0.587,0.048,0.04,0.314,0.032,0.083,23
Phrynomantis_bifasciatus,3,4.777,44,0.07,0.13,1.36,0.71,1.67,0.37,14.6,0.11,,,,,5.55,4,0.27,7.29,0.56,0.54,0.574,0.045,0.058,0.276,0.024,0.089,28,0.5,0.047,0.038,0.346,0.034,0.079,30
Phyllomedusa_hypochondrialis,1,2.278,40,0.09,0.14,1.65,0.8,1,0.27,22.7,0.08,2.22,27.3,10.2,162,5.8,3.75,0.31,10.7,1.18,1.83,0.426,0.042,0.053,0.385,0.028,0.092,17,0.576,0.043,0.037,0.297,0.029,0.082,
Phyllomedusa_hypochondrialis,2,1.992,36,0.09,0.11,1.78,0.8,1.44,0.29,12.8,0.09,2.5,28.3,8.4,145,6.63,4.29,0.36,13.43,1.58,2.57,0.359,0.038,0.026,0.184,0.031,0.077,14,0.358,0.042,0.028,0.273,0.056,0.066,14
Polypedates_leucomystax,1,24.176,82,0.14,0.19,1.6,0.57,1.74,0.25,16.9,0.18,4.18,32.7,29.9,615,5.62,2.07,0.24,11.67,,,0.602,0.035,0.027,0.09,0.02,0.068,9,0.609,0.053,0.027,0.194,0.032,0.084,
Polypedates_leucomystax,2,4.563,49,0.16,0.13,1.94,0.6,1.29,0.26,18.1,0.14,4.81,41.7,17.3,446,8.1,2.73,0.18,16.29,,,0.48,0.029,0.025,0.095,0.02,0.048,8,0.514,0.036,0.028,0.172,0.027,0.071,3
Polypedates_leucomystax,3,6.675,49,0.19,0.14,1.76,0.57,2.44,0.35,23.9,0.16,9.06,63.7,28.9,1037,5.33,1.54,0.13,16.69,,,0.498,0.03,0.026,0.093,0.02,0.05,10,0.579,0.041,0.034,0.324,0.041,0.095,16
Lithobates_pipiens,2,29.805,69,0.17,0.26,1.97,0.57,1.29,0.38,27.3,0.16,2.56,25.4,10.5,172,6.03,1.2,0.14,15.86,,,0.701,0.025,0.025,0.061,0.014,0.062,36,0.56,0.045,0.024,0.183,0.034,0.076,25
Lithobates_pipiens,3,16.673,67,0.23,0.07,1.96,0.55,1.54,0.45,22.4,0.15,1.97,17.3,6.1,60,5.19,1.18,0.2,13.11,,,0.651,0.025,0.024,0.072,0.013,0.045,13,,,,,,,
Lithobates_pipiens,4,24.208,71,0.2,0.11,1.93,0.57,1.81,0.37,22,0.19,3.63,28.6,13.2,257,7.91,1.46,0.12,16.44,,,0.636,0.028,0.032,0.09,0.015,0.067,19,0.46,0.037,0.018,0.112,0.029,0.043,6
Lithobates_pipiens,5,20.194,70,0.23,0.19,2.09,0.53,2,0.37,24.2,0.17,4.87,40.2,19.5,422,4.77,1.22,0.18,10.64,,,0.513,0.024,0.024,0.069,0.017,0.051,4,0.567,0.032,0.018,0.117,0.026,0.054,4
Lithobates_pipiens,6,17.314,67,0.21,0.1,1.93,0.58,2.29,0.38,26.4,0.17,2.98,27.1,10.1,182,9.03,1.82,0.15,19.79,,,0.64,0.029,0.033,0.093,0.015,0.056,11,0.288,0.038,0.026,0.172,0.034,0.051,10
Scaphiopus_holbrookii,1,17.29,56,0.08,0.4,1.3,0.59,1.12,0.35,20.4,0.1,3.09,25.5,15,311,7.49,4.62,0.31,10.44,,,0.439,0.037,0.046,0.277,0.027,0.063,34,0.406,0.048,0.042,,0.039,0.076,32
Scaphiopus_holbrookii,2,7.674,45,0.1,0.15,1.4,0.6,0.8,0.41,21.4,0.13,4.17,39,17.1,471,5.73,4.29,0.21,8.58,,,0.538,0.036,0.042,0.276,0.022,0.065,34,0.331,0.05,0.046,0.397,0.061,0.078,31
Scaphiopus_holbrookii,3,6.681,44,0.09,0.37,1.23,0.62,0.8,0.45,23.9,0.09,3.04,28.1,10.9,281,5.55,4.62,0.38,7.38,,,0.377,0.043,0.083,0.346,0.031,0.058,18,0.34,0.054,0.06,0.444,0.055,0.072,
Scaphiopus_holbrookii,4,10.903,48,0.07,0.32,1.33,0.6,0.79,0.46,25.3,0.11,2.85,25.6,13.1,289,5.76,4.29,0.29,8.34,,,0.445,0.041,0.044,0.228,0.028,0.064,26,0.339,0.047,0.036,0.38,0.06,0.072,20
