"mass_mg","mass_g","fit","lwr","upr","Predicted_mN","Lower_PI_mN","Upper_PI_mN"
73,0.073,0.369347178631523,-0.0412514843102731,0.779945841573318,2.34070767217794,0.909386527115557,6.02484448936248
74,0.074,0.375318219475395,-0.035046877825754,0.785683316776543,2.37311191293797,0.92247185000058,6.10496694432962
75,0.075,0.381209109696808,-0.0289260565862625,0.791344275979878,2.40552076230656,0.935564950814011,6.18506511263942
76,0.076,0.387021972585442,-0.0228867952634859,0.796930740434371,2.43793415947434,0.948665713636934,6.26513942740269
77,0.077,0.39275884815988,-0.0169269559408936,0.802444652260653,2.47035204522402,0.961774025709965,6.3451903089581
78,0.078,0.398421697465768,-0.0110444835967534,0.807887878528289,2.50277436186856,0.974889777307971,6.42521816540476
79,0.079,0.404012406600202,-0.00523740187512811,0.813262215075531,2.53520105319252,0.988012861621288,6.50522339310607
80,0.08,0.409532790482974,0.000496190876904778,0.818569390089043,2.56763206439636,1.00114317464301,6.58520637716693
81,0.081,0.414984596393569,0.00615812532566179,0.823811067461477,2.60006734204351,1.014280615062,6.66516749188584
82,0.082,0.420369507291147,0.0117501646390474,0.828988849943247,2.63250683401008,1.02742508416118,6.74510710118359
83,0.083,0.425689144933298,0.0172740077631421,0.834104282103454,2.66495048943695,1.04057648572093,6.82502555901008
84,0.084,0.430945072808036,0.0227312925024008,0.839158853113671,2.69739825868427,1.05373472592709,6.90492320973047
85,0.085,0.436138798892286,0.0281235984174207,0.844153999367151,2.72985009328803,1.06689971328349,6.98480038849211
86,0.086,0.441271778249045,0.0334524495530849,0.849091106945006,2.76230594591868,1.08007135852858,7.06465742157332
87,0.087,0.446345415474411,0.0387193170088646,0.853971513939958,2.79476577034172,1.09324957455597,7.14449462671513
88,0.088,0.451361067004766,0.0439256213621046,0.858796512647427,2.82722952138006,1.10643427633876,7.22431231343702
89,0.089,0.456320043293606,0.0490727349542709,0.863567351632942,2.85969715487807,1.11962538085722,7.30411078333759
90,0.09,0.461223610866755,0.0541619840493553,0.868285237684155,2.89216862766729,1.13282280702986,7.38389033038105
91,0.091,0.466072994264016,0.0591946508729164,0.872951337655115,2.92464389753364,1.14602647564753,7.46365124117033
92,0.092,0.470869377874719,0.0641719755395905,0.877566780209847,2.95712292318603,1.15923630931053,7.54339379520753
93,0.093,0.475613907674047,0.0690951578763177,0.882132657471777,2.9896056642264,1.17245223236838,7.62311826514257
94,0.094,0.480307692866503,0.0739653591479742,0.886650026585032,3.02209208112099,1.18567417086233,7.70282491701056
95,0.095,0.48495180744241,0.0787837036916129,0.891119911193207,3.05458213517284,1.19890205247024,7.78251401045847
96,0.096,0.489547291652922,0.0835512804650627,0.895543302840781,3.08707578849547,1.21213580645387,7.86218579896194
97,0.097,0.494095153408604,0.0882691445152137,0.899921162301994,3.11957300398766,1.22537536360841,7.94184053003246
98,0.098,0.498596369606284,0.0929383183709307,0.904254420841637,3.15207374530918,1.23862065621404,8.02147844541559
99,0.099,0.503051887388547,0.0975597933651962,0.908543981411898,3.18457797685765,1.25187161798956,8.10109978128073
100,0.1,0.507462625339941,0.102134530890749,0.912790719789133,3.21708566374621,1.2651281840479,8.18070476840278
